station,recorded,ten,mean,station_mean,kuchera,dube,gpt,nn_full,nn_small,nn_without_derived,nn_without_meta,nn_without_radiation,nn_without_surface,nn_without_temperature,nn_without_upper,nn_without_water,nn_without_wind,nn_surface_temperature,nn_surface_temp_meta,nn_temp_humidity,nn_temp_humidity_wind,nn_temp_humidity_wind_meta,count
1,0.0,2.777777778888887,7.335204494559978,0.0,3.7438269152912134,1.7777777768888905,50.5455419346256,0.6713811840876475,21.98339236077777,0.6589645370060144,0.008041311467768496,0.35156334454047694,0.6477174205621676,0.31985598254474906,2.798491911532136,0.03423280111510343,2.9953990213853787,2.858612327557333,1.6623550598146966,1.9599206051716156,0.25788677286286704,6.120207165178877,1
2,0.0,43.7415928298589,44.85860129988824,43.74135857355596,106.22647491984674,50.71798634820978,73.94384657137498,43.21129484037722,45.294693389238525,42.96493602840227,43.157477084232404,43.217411016837694,45.60059887458239,44.33389628066786,45.74919993864815,43.57168431584578,45.300317867927326,43.74374349570122,45.584681191941534,44.63066373602037,44.305689143425354,44.41331514917706,57
3,0.0,18.654983640271222,22.023103013412463,17.454177935030472,52.46264152176496,19.68328140922618,61.37341979768559,17.754241976022424,17.211765250143674,16.532613441999437,16.534643642035675,18.591532256854986,16.499799350575007,16.79218591925111,16.272544857063053,17.648507116221126,16.689456022389667,18.706558446285623,17.520117603556915,18.26420007158878,17.66927762984499,17.128610584882853,111
4,0.0,86.00258734839232,79.47594258965395,72.65408445940629,157.83719777280612,110.44185550328488,76.1075495218301,84.60731140471057,82.8806478875656,84.6905376362422,87.05317427323061,80.34235500440802,79.81330850155128,79.93442920624327,77.94067519203058,81.61890748922755,80.96798980216927,85.82634674259224,75.06119402708666,84.43381929476492,79.03366160317692,74.75978067816187,121
5,0.0,19.40370892600425,17.864653406978675,17.817180331788165,35.943562399193716,24.454432592614005,34.08027159987883,18.54453252069704,18.608480411204695,18.045317316004184,18.991278403894924,17.55223897967168,17.554266524920227,19.004316460433337,19.26881317827175,18.618423382178936,19.578779723211237,19.342644078682984,19.08162546006308,18.521785731399426,17.57805339508279,17.645265583619,82
6,0.0,81.9520728525151,75.3283249999747,68.26082464642617,305.20405611348536,114.07616181151509,71.36218964116132,81.41638942243085,68.19474636104086,75.74680973820399,87.67276022990096,82.68060581821747,67.10966116321724,77.93964047934607,91.44308559167479,78.40025433571572,88.90002759078872,81.78175606142727,84.87671376804488,81.31443615149183,66.69003420560634,72.58729618778324,26
7,0.0,29.232993197702772,27.555533201653375,27.474697768689104,81.15524044461543,38.66156462716431,43.203703568428075,29.014125813200096,29.546465887214005,27.639904287573643,29.680823434657853,26.919039404399363,27.558163240537105,29.171659285949502,30.246913518669608,28.599607749092677,30.2126562394296,29.16689385217215,29.902085963965458,30.14746726860976,29.517441983335274,28.021489711759063,26
8,0.0,29.00817253321262,35.42928057225667,22.448364130455865,35.30880754005185,21.353093904412617,87.73900800145559,21.314793751835033,18.41357144431337,21.18947631833391,21.44692414623505,18.24195628253856,18.291787786514508,19.877359841242626,22.790403012845815,21.77778552646231,23.969775629411615,29.129516323192867,23.44500317055048,30.091370950103997,18.417399268149197,19.0246535211467,45
9,0.0,63.81839112867859,60.853511695505055,60.039434496838226,56.669031047009014,62.165793726178585,70.77531141028291,58.30013232630756,56.77463341217307,57.574583613013964,58.58881586323301,61.293919219265,51.439237034877046,56.44659372222085,61.780471783749334,57.466131363394275,62.90877354064853,63.71730741900185,63.274952369049196,56.910606910441686,36.07354634563917,47.32048985236719,12
10,0.0,30.38501053347223,34.36702224603845,28.451592377248335,47.651506403126284,28.710801320655328,75.76274309768638,27.115265347229453,26.87713294127098,27.247613644231777,27.163029343261027,26.423809798145776,27.921223767175935,27.970497292004747,27.827898550631282,27.967490887186482,28.08549966846251,30.451161754281376,29.37831393718892,30.875037728149987,27.599478690557547,28.725364093536683,71
11,0.0,21.64410251525522,20.751456497525975,20.742921330852695,46.165789018480176,25.740882278921884,40.262968507018066,21.182347302368054,20.686606702343173,20.855679969116427,21.253832132186936,19.707634002039452,19.4005169906217,21.346289314954127,21.635973135711943,21.210271278582066,21.76488372559293,21.596390891474258,21.919851705680856,21.533565457684603,19.310699875562538,19.541551575125467,90
12,0.0,36.95652619464301,39.52225021231068,36.45147114302158,48.68230773701743,39.17110237789942,74.20124735107633,34.631523194525684,33.73681135958105,34.720301838657065,35.31271297973745,32.42759384208505,31.809926417672713,35.23759682350518,35.63676119885042,34.72741996040366,36.211962046357435,36.99048618016519,36.74536982762531,38.17066398098533,31.671522054233545,30.689898982010057,78
13,0.0,102.87835430469873,89.184761624525,52.559009348369194,207.8486719800848,154.4400321196987,55.11972528443403,116.38340541247169,115.4778858421488,116.66953970369904,114.69685757486127,123.6724967434809,115.97568840302392,119.10553021062732,123.62069259170717,108.47785305236086,122.06282655888485,102.539999534824,125.26934631633537,99.91086278306511,119.87124937564847,125.19603991316444,6
14,0.0,53.82345735028123,57.56205241054892,52.201306449664166,138.82092587628054,55.181636073765105,100.01087159713634,52.30260755368764,54.165037286140134,53.78726946658559,52.56589440055198,54.31659786462143,52.276011717432546,51.842259499030376,51.82818257300261,51.95133180496028,52.09545160045104,53.88281525165827,52.25183376583478,52.41330047578399,55.497958298980784,55.69171948868812,31
15,0.0,5.971854297887314,8.912066079702116,5.179002821151883,17.1551439425403,6.700750402315886,44.26546113389575,8.468514284302666,8.642100687361486,8.047382103329454,7.14330769886506,7.830899793868135,11.22520374833824,6.2267164325080415,7.92367104078474,7.292838610244481,6.338751714190877,6.0155621556185945,6.81932376109567,6.7581393378308245,12.015193393854068,11.89376249050611,14
16,0.0,5.340720663163266,3.8495155067742433,3.811523437353795,7.336226912384073,13.822863520413264,20.119231928508917,4.453123566171205,3.798920171587997,3.581392989659054,3.971561524122805,3.68791254827677,4.377814324949584,4.458880974011954,4.177384047948565,4.020828309215641,4.718629179566607,5.279200750717489,4.851918274000878,3.821029780821776,5.309611462043529,4.30484282293759,8
17,0.0,29.438758714289982,29.557856567872175,29.223759388466966,40.90449137127262,34.993754712347126,53.47126874595359,28.529312673032912,30.417095600543366,28.237083368096066,28.491281536601853,30.05724282802035,31.64973843542361,28.95142935559227,29.56346438919459,29.29937249318695,30.00743179447697,29.41463184583856,31.60422973344909,28.97070323726576,30.678875213371647,29.350311590301477,105
18,0.0,34.69415325031932,34.338098615592195,34.21563804686259,59.169330073391905,39.22320332578694,55.66002903265714,33.83383945295198,33.84273211116818,33.98721929630747,33.77051197551958,33.603597906945595,33.26614423490553,33.617216217631906,34.00824847517639,34.06359727181185,34.23651378261767,34.65937980394359,34.681013819078395,33.32903704046577,32.900900573380326,33.606954679107105,139
19,0.0,11.337407060173202,12.10254273446347,11.313817336183831,8.880278141408064,11.444549917423203,37.86055849635463,9.685998605326333,12.432677060636216,10.143653727126093,10.772710227358258,11.028778575853027,14.48887933711317,11.381790547754044,10.020647199700354,9.200563250984878,10.573330648832194,11.329068550476308,11.528872922617918,10.266788565782175,17.263585997836966,13.582530577507612,8
