Unnamed: 0,model_id,dataname,optimizer,lossfn,layers,regularization_strength,activationfn,epochs,batch_size,dropout_rate,train_accuracy,test_accuracy,time
,0.0,test_data_4_modified_small.csv,adam,huber,"['normalization', 200, 150, 100, 100, 100, 50, 20]",0.0,<keras.layers.activation.leaky_relu.LeakyReLU object at 0x000002552C8494B0>,5.0,100.0,0.2,"[3.471374988555908, 35.448097229003906]","[3.725860595703125, 41.75618362426758]",
,1.0,test_data_4_modified_small.csv,adam,huber,"['normalization', 200, 150, 100, 100, 100, 50, 20]",0.0,<keras.layers.activation.leaky_relu.LeakyReLU object at 0x00000294EC908EB0>,100.0,100.0,0.2,"[3.384917736053467, 33.546836853027344]","[3.4285027980804443, 33.133819580078125]",
,2.0,test_data_4_modified_small.csv,adam,huber,"['normalization', 200, 150, 100, 100, 100, 50, 20]",1e-06,<keras.layers.activation.leaky_relu.LeakyReLU object at 0x00000294EDEC90F0>,100.0,100.0,0.2,"[3.41265606880188, 34.584434509277344]","[3.5601601600646973, 36.93383026123047]",
,3.0,test_data_4_modified_small.csv,adam,huber,"['normalization', 200, 150, 100, 100, 100, 50, 20]",0.0001,<keras.layers.activation.leaky_relu.LeakyReLU object at 0x00000294F32D8E80>,100.0,100.0,0.2,"[3.4921226501464844, 34.80016326904297]","[3.4630043506622314, 33.67710494995117]",
,4.0,test_data_4_modified_small.csv,adam,huber,"['normalization', 200, 150, 100, 100, 100, 50, 20]",0.01,<keras.layers.activation.leaky_relu.LeakyReLU object at 0x00000294F7CEFA60>,100.0,100.0,0.2,"[3.684532880783081, 34.84983825683594]","[3.8339784145355225, 39.8378791809082]",
,5.0,test_data_4_modified_small.csv,adam,huber,"['normalization', 200, 150, 100, 100, 100, 50, 20]",10.0,<keras.layers.activation.leaky_relu.LeakyReLU object at 0x00000294FADCB6A0>,100.0,100.0,0.2,"[109.01515197753906, 35.39314651489258]","[109.0588607788086, 33.83171844482422]",
,6.0,test_data_4_modified_small.csv,adam,huber,"['normalization', 200, 'dropout', 150, 'dropout', 100, 'dropout', 100, 'dropout', 100, 'dropout', 50, 'dropout', 20]",0.0,<keras.layers.activation.leaky_relu.LeakyReLU object at 0x00000294FAD936D0>,100.0,100.0,0.2,"[3.468104600906372, 35.7965087890625]","[3.5087525844573975, 37.64204025268555]",
,7.0,test_data_4_modified_small.csv,adam,huber,"['normalization', 200, 'dropout', 150, 'dropout', 100, 'dropout', 100, 'dropout', 100, 'dropout', 50, 'dropout', 20]",1e-06,<keras.layers.activation.leaky_relu.LeakyReLU object at 0x00000294E9177E80>,100.0,100.0,0.2,"[3.4399948120117188, 34.47080993652344]","[3.5738682746887207, 37.43611145019531]",
,8.0,test_data_4_modified_small.csv,adam,huber,"['normalization', 200, 'dropout', 150, 'dropout', 100, 'dropout', 100, 'dropout', 100, 'dropout', 50, 'dropout', 20]",0.0001,<keras.layers.activation.leaky_relu.LeakyReLU object at 0x00000294F18BCB80>,100.0,100.0,0.2,"[3.5024683475494385, 35.321861267089844]","[3.6064345836639404, 36.64838790893555]",
,9.0,test_data_4_modified_small.csv,adam,huber,"['normalization', 200, 'dropout', 150, 'dropout', 100, 'dropout', 100, 'dropout', 100, 'dropout', 50, 'dropout', 20]",0.01,<keras.layers.activation.leaky_relu.LeakyReLU object at 0x00000294FACB6EC0>,100.0,100.0,0.2,"[3.650806427001953, 35.11579132080078]","[3.5526015758514404, 35.516441345214844]",
